MAJOR;MINOR;Name;PROXIMITYUUID;MAC;geopos;register_source;UID;Standort;Geoposition;floor
60390;32676;Kontakt-SBB 60390.32676;;;(47.3782859733333|8.53802217333333|-3);CALIBMAP[IOS];60390.32676;ZH;47.3782859733,8.53802217333;-3
60377;51972;Kontakt-SBB 60377.51972;;;(47.3783550702875|8.53710271884984|-3);CALIBMAP[IOS];60377.51972;ZH;47.3783550703,8.53710271885;-3
60340;25576;Kontakt-SBB 60340.25576;;;(47.3783284037267|8.53694246583851|-3);CALIBMAP[IOS];60340.25576;ZH;47.3783284037,8.53694246584;-3
60151;45485;Kontakt-SBB 60151.45485;;;(47.3778814906832|8.53860083540373|-3);CALIBMAP[IOS];60151.45485;ZH;47.3778814907,8.5386008354;-3
59884;60122;Kontakt-SBB 59884.60122;;;(47.3778378074534|8.53876293167702|-3);CALIBMAP[IOS];59884.60122;ZH;47.3778378075,8.53876293168;-3
59825;15683;Kontakt-SBB 59825.15683;;;(47.3786672337662|8.53633683766234|-3);CALIBMAP[IOS];59825.15683;ZH;47.3786672338,8.53633683766;-3
59788;4562;Kontakt-SBB 59788.4562;;;(47.3779897987013|8.53887373701299|-3);CALIBMAP[IOS];59788.4562;ZH;47.3779897987,8.53887373701;-3
59744;52180;Kontakt-SBB 59744.52180;;;(47.3778546086957|8.53870058695652|-3);CALIBMAP[IOS];59744.5218;ZH;47.3778546087,8.53870058696;-3
59739;227;Kontakt-SBB 59739.227;;;(47.37816044|8.53848814|-3);CALIBMAP[IOS];59739.227;ZH;47.37816044,8.53848814;-3
59713;3332;Kontakt-SBB 59713.3332;;;(47.37804208|8.53892748|-3);CALIBMAP[IOS];59713.3332;ZH;47.37804208,8.53892748;-3
59670;30844;Kontakt-SBB 59670.30844;;;(47.3787944984025|8.53547200638978|-3);CALIBMAP[IOS];59670.30844;ZH;47.3787944984,8.53547200639;-3
59595;40444;Kontakt-SBB 59595.40444;;;(47.3786976166134|8.53583153354633|-3);CALIBMAP[IOS];59595.40444;ZH;47.3786976166,8.53583153355;-3
59565;27726;Kontakt-SBB 59565.27726;;;(47.378837461039|8.53569936038961|-3);CALIBMAP[IOS];59565.27726;ZH;47.378837461,8.53569936039;-3
59372;24242;Kontakt-SBB 59372.24242;;;(47.378721552795|8.53548359937888|-3);CALIBMAP[IOS];59372.24242;ZH;47.3787215528,8.53548359938;-3
59348;25202;Kontakt-SBB 59348.25202;;;(47.378701974026|8.53620674025974|-3);CALIBMAP[IOS];59348.25202;ZH;47.378701974,8.53620674026;-3
59176;52761;Kontakt-SBB 59176.52761;;;(47.378833987013|8.53571237012987|-3);CALIBMAP[IOS];59176.52761;ZH;47.378833987,8.53571237013;-3
59109;45072;Kontakt-SBB 59109.45072;;;(47.3786106645963|8.53589507453416|-3);CALIBMAP[IOS];59109.45072;ZH;47.3786106646,8.53589507453;-3
58967;20534;Kontakt-SBB 58967.20534;;;(47.3786812117647|8.53842708235294|0);CALIBMAP[IOS];58967.20534;ZH;47.3786812118,8.53842708235;0
58959;3295;Kontakt-SBB 58959.3295;;;(47.3788478831169|8.53566033116883|-3);CALIBMAP[IOS];58959.3295;ZH;47.3788478831,8.53566033117;-3
58904;32418;Kontakt-SBB 58904.32418;;;(47.3787818766234|8.53590751623377|-3);CALIBMAP[IOS];58904.32418;ZH;47.3787818766,8.53590751623;-3
58891;1163;Kontakt-SBB 58891.1163;;;(47.3788617792208|8.53560829220779|-3);CALIBMAP[IOS];58891.1163;ZH;47.3788617792,8.53560829221;-3
58732;50250;Kontakt-SBB 58732.50250;;;(47.3785873311688|8.53663606168831|-3);CALIBMAP[IOS];58732.5025;ZH;47.3785873312,8.53663606169;-3
58683;39869;Kontakt-SBB 58683.39869;;;(47.3783956086957|8.53669308695652|-3);CALIBMAP[IOS];58683.39869;ZH;47.3783956087,8.53669308696;-3
58511;54350;Kontakt-SBB 58511.54350;;;(47.3786220714286|8.53650596428571|-3);CALIBMAP[IOS];58511.5435;ZH;47.3786220714,8.53650596429;-3
58419;33851;Kontakt-SBB 58419.33851;;;(47.3793965652174|8.53685386956522|-2);CALIBMAP[IOS];58419.33851;ZH;47.3793965652,8.53685386957;-2
58396;22350;Kontakt-SBB 58396.22350;;;(47.3787158701299|8.5361547012987|-3);CALIBMAP[IOS];58396.2235;ZH;47.3787158701,8.5361547013;-3
58326;7479;Kontakt-SBB 58326.7479;;;(47.37858008|8.53693048|-3);CALIBMAP[IOS];58326.7479;ZH;47.37858008,8.53693048;-3
58323;52928;Kontakt-SBB 58323.52928;;;(47.3783233051948|8.53762480194805|-3);CALIBMAP[IOS];58323.52928;ZH;47.3783233052,8.53762480195;-3
58315;58846;Kontakt-SBB 58315.58846;;;(47.3785560649351|8.53675314935065|-3);CALIBMAP[IOS];58315.58846;ZH;47.3785560649,8.53675314935;-3
58190;23967;Kontakt-SBB 58190.23967;;;(47.3783446900958|8.53714123961661|-3);CALIBMAP[IOS];58190.23967;ZH;47.3783446901,8.53714123962;-3
58180;32005;Kontakt-SBB 58180.32005;;;(47.3787427878788|8.53554863636364|-2);CALIBMAP[IOS];58180.32005;ZH;47.3787427879,8.53554863636;-2
58147;36063;Kontakt-SBB 58147.36063;;;(47.3783620062112|8.53681777639751|-3);CALIBMAP[IOS];58147.36063;ZH;47.3783620062,8.5368177764;-3
57991;31467;Kontakt-SBB 57991.31467;;;(47.3786741818182|8.53631081818182|-3);CALIBMAP[IOS];57991.31467;ZH;47.3786741818,8.53631081818;-3
57869;52504;Kontakt-SBB 57869.52504;;;(47.3785334533333|8.53710355333333|-3);CALIBMAP[IOS];57869.52504;ZH;47.3785334533,8.53710355333;-3
57683;22223;Kontakt-SBB 57683.22223;;;(47.3787701733333|8.53622487333333|-3);CALIBMAP[IOS];57683.22223;ZH;47.3787701733,8.53622487333;-3
57617;45075;Kontakt-SBB 57617.45075;;;(47.3789853733333|8.53542607333333|-3);CALIBMAP[IOS];57617.45075;ZH;47.3789853733,8.53542607333;-3
57551;25480;Kontakt-SBB 57551.25480;;;(47.377709|8.538471|-1);CALIBMAP[IOS];57551.2548;ZH;47.377709,8.538471;-1
57277;25371;Kontakt-SBB 57277.25371;;;(47.3775403963964|8.53885618018018|-3);CALIBMAP[IOS];57277.25371;ZH;47.3775403964,8.53885618018;-3
57256;63976;Kontakt-SBB 57256.63976;;;(47.3772470892857|8.53976386607143|-3);CALIBMAP[IOS];57256.63976;ZH;47.3772470893,8.53976386607;-3
57136;22064;Kontakt-SBB 57136.22064;;;(47.37925928|8.53663468|-2);CALIBMAP[IOS];57136.22064;ZH;47.37925928,8.53663468;-2
56987;31311;Kontakt-SBB 56987.31311;;;(47.3774755135135|8.53909732432432|-3);CALIBMAP[IOS];56987.31311;ZH;47.3774755135,8.53909732432;-3
56936;9744;Kontakt-SBB 56936.9744;;;(47.3776152612613|8.53857793693694|-3);CALIBMAP[IOS];56936.9744;ZH;47.3776152613,8.53857793694;-3
56564;62369;Kontakt-SBB 56564.62369;;;(47.3773657117117|8.53950541441441|-3);CALIBMAP[IOS];56564.62369;ZH;47.3773657117,8.53950541441;-3
56549;20367;Kontakt-SBB 56549.20367;;;(47.3771679464286|8.54005858035714|-3);CALIBMAP[IOS];56549.20367;ZH;47.3771679464,8.54005858036;-3
56441;55947;Kontakt-SBB 56441.55947;;;(47.3775354054054|8.53887472972973|-3);CALIBMAP[IOS];56441.55947;ZH;47.3775354054,8.53887472973;-3
56170;750;Kontakt-SBB 56170.750;;;(47.3777001081081|8.53826259459459|-3);CALIBMAP[IOS];56170.75;ZH;47.3777001081,8.53826259459;-3
56092;4398;Kontakt-SBB 56092.4398;;;(47.377717|8.53844238461538|-1);CALIBMAP[IOS];56092.4398;ZH;47.377717,8.53844238462;-1
56027;39689;Kontakt-SBB 56027.39689;;;(47.377729|8.53839946153846|-1);CALIBMAP[IOS];56027.39689;ZH;47.377729,8.53839946154;-1
55940;61047;Kontakt-SBB 55940.61047;;;(47.377266875|8.5396901875|-3);CALIBMAP[IOS];55940.61047;ZH;47.377266875,8.5396901875;-3
55873;3678;Kontakt-SBB 55873.3678;;;(47.3776601801802|8.53841099099099|-3);CALIBMAP[IOS];55873.3678;ZH;47.3776601802,8.53841099099;-3
55821;4167;Kontakt-SBB 55821.4167;;;(47.377206|8.540099|-3);CALIBMAP[IOS];55821.4167;ZH;47.377206,8.540099;-3
55790;65173;Kontakt-SBB 55790.65173;;;(47.377733|8.53838515384616|-1);CALIBMAP[IOS];55790.65173;ZH;47.377733,8.53838515385;-1
55766;29988;Kontakt-SBB 55766.29988;;;(47.3774206126126|8.53930136936937|-3);CALIBMAP[IOS];55766.29988;ZH;47.3774206126,8.53930136937;-3
55671;54980;Kontakt-SBB 55671.54980;;;(47.377724|8.53841734615385|-1);CALIBMAP[IOS];55671.5498;ZH;47.377724,8.53841734615;-1
55437;38118;Kontakt-SBB 55437.38118;;;(47.377936407767|8.53872452427185|0);CALIBMAP[IOS];55437.38118;ZH;47.3779364078,8.53872452427;0
55426;61180;Kontakt-SBB 55426.61180;;;(47.3774350535714|8.53906391964286|-3);CALIBMAP[IOS];55426.6118;ZH;47.3774350536,8.53906391964;-3
55249;34042;Kontakt-SBB 55249.34042;;;(47.3787596543779|8.53931896774193|0);CALIBMAP[IOS];55249.34042;ZH;47.3787596544,8.53931896774;0
55065;51578;Kontakt-SBB 55065.51578;;;(47.3772470892857|8.53976386607143|-3);CALIBMAP[IOS];55065.51578;ZH;47.3772470893,8.53976386607;-3
55007;23794;Kontakt-SBB 55007.23794;;;(47.3786249405941|8.53836072277228|-2);CALIBMAP[IOS];55007.23794;ZH;47.3786249406,8.53836072277;-2
54834;37401;Kontakt-SBB 54834.37401;;;(47.3790110425532|8.53616421276596|-2);CALIBMAP[IOS];54834.37401;ZH;47.3790110426,8.53616421277;-2
54726;44418;Kontakt-SBB 54726.44418;;;(47.3789322727273|8.53880666666667|-2);CALIBMAP[IOS];54726.44418;ZH;47.3789322727,8.53880666667;-2
54714;7147;Kontakt-SBB 54714.7147;;;(47.3788936136364|8.53895441666667|-2);CALIBMAP[IOS];54714.7147;ZH;47.3788936136,8.53895441667;-2
54678;1590;Kontakt-SBB 54678.1590;;;(47.3788985|8.538795125|-2);CALIBMAP[IOS];54678.159;ZH;47.3788985,8.538795125;-2
54334;40346;Kontakt-SBB 54334.40346;;;(47.3790272473118|8.53775134408602|0);CALIBMAP[IOS];54334.40346;ZH;47.3790272473,8.53775134409;0
54291;10084;Kontakt-SBB 54291.10084;;;(47.3787217954545|8.53961108333333|-2);CALIBMAP[IOS];54291.10084;ZH;47.3787217955,8.53961108333;-2
54139;42363;Kontakt-SBB 54139.42363;;;(47.3787971782178|8.53855473267327|-2);CALIBMAP[IOS];54139.42363;ZH;47.3787971782,8.53855473267;-2
54091;455;Kontakt-SBB 54091.455;;;(47.3789933960396|8.53866540594059|-2);CALIBMAP[IOS];54091.455;ZH;47.378993396,8.53866540594;-2
54038;26452;Kontakt-SBB 54038.26452;;;(47.37876475|8.53944691666667|-2);CALIBMAP[IOS];54038.26452;ZH;47.37876475,8.53944691667;-2
54018;53607;Kontakt-SBB 54018.53607;;;(47.3784898409091|8.54049758333333|-2);CALIBMAP[IOS];54018.53607;ZH;47.3784898409,8.54049758333;-2
53830;9918;Kontakt-SBB 53830.9918;;;(47.3784672777778|8.53605688888889|-2);CALIBMAP[IOS];53830.9918;ZH;47.3784672778,8.53605688889;-2
53677;19721;Kontakt-SBB 53677.19721;;;(47.3791726037736|8.53821015094339|-3);CALIBMAP[IOS];53677.19721;ZH;47.3791726038,8.53821015094;-3
53627;45751;Kontakt-SBB 53627.45751;;;(47.3786923684211|8.53963505263158|-2);CALIBMAP[IOS];53627.45751;ZH;47.3786923684,8.53963505263;-2
53554;58380;Kontakt-SBB 53554.58380;;;(47.3787664150943|8.53971860377358|-3);CALIBMAP[IOS];53554.5838;ZH;47.3787664151,8.53971860377;-3
53208;45670;Kontakt-SBB 53208.45670;;;(47.3788105660377|8.53955464150943|-3);CALIBMAP[IOS];53208.4567;ZH;47.378810566,8.53955464151;-3
53161;25061;Kontakt-SBB 53161.25061;;;(47.3785260877193|8.53953729824562|-2);CALIBMAP[IOS];53161.25061;ZH;47.3785260877,8.53953729825;-2
53101;10313;Kontakt-SBB 53101.10313;;;(47.3786058181818|8.54005433333333|-2);CALIBMAP[IOS];53101.10313;ZH;47.3786058182,8.54005433333;-2
52990;3567;Kontakt-SBB 52990.3567;;;(47.3786462195122|8.54079890243902|-1);CALIBMAP[IOS];52990.3567;ZH;47.3786462195,8.54079890244;-1
52825;43967;Kontakt-SBB 52825.43967;;;(47.3785434285714|8.539831|-2);CALIBMAP[IOS];52825.43967;ZH;47.3785434286,8.539831;-2
52760;44193;Kontakt-SBB 52760.44193;;;(47.3781735789474|8.54140563157895|-1);CALIBMAP[IOS];52760.44193;ZH;47.3781735789,8.54140563158;-1
52498;27257;Kontakt-SBB 52498.27257;;;(47.3786448888889|8.53635255555556|-2);CALIBMAP[IOS];52498.27257;ZH;47.3786448889,8.53635255556;-2
52481;16573;Kontakt-SBB 52481.16573;;;(47.3783829405941|8.53832108910891|-2);CALIBMAP[IOS];52481.16573;ZH;47.3783829406,8.53832108911;-2
52480;24851;Kontakt-SBB 52480.24851;;;(47.378777|8.539629|-2);CALIBMAP[IOS];52480.24851;ZH;47.378777,8.539629;-2
52421;24528;Kontakt-SBB 52421.24528;;;(47.3780589034091|8.53702461931818|0);CALIBMAP[IOS];52421.24528;ZH;47.3780589034,8.53702461932;0
52386;18437;Kontakt-SBB 52386.18437;;;(47.378841970297|8.53848686138614|-2);CALIBMAP[IOS];52386.18437;ZH;47.3788419703,8.53848686139;-2
52301;42919;Kontakt-SBB 52301.42919;;;(47.3785317352941|8.54016163970588|-2);CALIBMAP[IOS];52301.42919;ZH;47.3785317353,8.54016163971;-2
52250;31338;Kontakt-SBB 52250.31338;;;(47.378496364486|8.54071352336449|-2);CALIBMAP[IOS];52250.31338;ZH;47.3784963645,8.54071352336;-2
51830;27130;Kontakt-SBB 51830.27130;;;(47.3789368080808|8.53654350505051|-2);CALIBMAP[IOS];51830.2713;ZH;47.3789368081,8.53654350505;-2
51213;17059;Kontakt-SBB 51213.17059;;;(47.3779254583333|8.53908529166667|0);CALIBMAP[IOS];51213.17059;ZH;47.3779254583,8.53908529167;0
50695;19975;Kontakt-SBB 50695.19975;;;(47.378630945946|8.53972186486486|0);CALIBMAP[IOS];50695.19975;ZH;47.3786309459,8.53972186486;0
50001;23535;Kontakt-SBB 50001.23535;;;(47.3778865873786|8.53891189805825|0);CALIBMAP[IOS];50001.23535;ZH;47.3778865874,8.53891189806;0
49907;58731;Kontakt-SBB 49907.58731;;;(47.3796823076923|8.53707807692308|-2);CALIBMAP[IOS];49907.58731;ZH;47.3796823077,8.53707807692;-2
49545;8241;Kontakt-SBB 49545.8241;;;(47.3778337058823|8.53908605882353|-2);CALIBMAP[IOS];49545.8241;ZH;47.3778337059,8.53908605882;-2
49235;54657;Kontakt-SBB 49235.54657;;;(47.3791148617512|8.53799638709677|0);CALIBMAP[IOS];49235.54657;ZH;47.3791148618,8.5379963871;0
49199;47756;Kontakt-SBB 49199.47756;;;(47.3778372666667|8.53796473333333|-1);CALIBMAP[IOS];49199.47756;ZH;47.3778372667,8.53796473333;-1
49167;7464;Kontakt-SBB 49167.7464;;;(47.3784618705882|8.53923989411765|0);CALIBMAP[IOS];49167.7464;ZH;47.3784618706,8.53923989412;0
49098;54279;Kontakt-SBB 49098.54279;;;(47.3779022857143|8.53905606122449|-2);CALIBMAP[IOS];49098.54279;ZH;47.3779022857,8.53905606122;-2
49021;45587;Kontakt-SBB 49021.45587;;;(47.3776945588235|8.53899608823529|-2);CALIBMAP[IOS];49021.45587;ZH;47.3776945588,8.53899608824;-2
48843;40349;Kontakt-SBB 48843.40349;;;(47.377753|8.53921285714286|-2);CALIBMAP[IOS];48843.40349;ZH;47.377753,8.53921285714;-2
48763;31629;Kontakt-SBB 48763.31629;;;(47.378447|8.539295|0);CALIBMAP[IOS];48763.31629;ZH;47.378447,8.539295;0
48740;59067;Kontakt-SBB 48740.59067;;;(47.3779835882353|8.53893329411765|-2);CALIBMAP[IOS];48740.59067;ZH;47.3779835882,8.53893329412;-2
48723;47696;Kontakt-SBB 48723.47696;;;(47.3777857142857|8.53898251020408|-2);CALIBMAP[IOS];48723.47696;ZH;47.3777857143,8.5389825102;-2
