Geo Shape
"{""coordinates"": [[8.538438907761334, 47.379046798956864], [8.537804671723418, 47.37785884829389]], ""type"": ""LineString""}"
"{""coordinates"": [[8.537804671723418, 47.37785884829389], [8.538217797949951, 47.377740642783714]], ""type"": ""LineString""}"
"{""coordinates"": [[8.538217797949951, 47.377740642783714], [8.538904402101089, 47.37893056615952]], ""type"": ""LineString""}"
"{""coordinates"": [[8.538904402101089, 47.37893056615952], [8.538438907761334, 47.379046798956864]], ""type"": ""LineString""}"
