MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
15450;55957;Kontakt-SBB 15450.55957;(47.3787718709677|8.53868951612903|0);CALIBMAP[IOS];15450.55957;47.378771871,8.53868951613;0
15328;19663;Kontakt-SBB 15328.19663;(47.3786700588235|8.53846841176471|0);CALIBMAP[IOS];15328.19663;47.3786700588,8.53846841176;0
15085;11267;Kontakt-SBB 15085.11267;(47.3786403176471|8.53857862352941|0);CALIBMAP[IOS];15085.11267;47.3786403176,8.53857862353;0
14973;34767;Kontakt-SBB 14973.34767;(47.3786175194175|8.53802730097087|0);CALIBMAP[IOS];14973.34767;47.3786175194,8.53802730097;0
14562;739;Kontakt-SBB 14562.739;(47.3788038941176|8.53797245882353|0);CALIBMAP[IOS];14562.739;47.3788038941,8.53797245882;0
14226;25942;Kontakt-SBB 14226.25942;(47.3788336352941|8.53786224705882|0);CALIBMAP[IOS];14226.25942;47.3788336353,8.53786224706;0
14162;64268;Kontakt-SBB 14162.64268;(47.3790034121864|8.53783890681004|0);CALIBMAP[IOS];14162.64268;47.3790034122,8.53783890681;0
14105;32364;Kontakt-SBB 14105.32364;(47.3789600352941|8.53739384705882|0);CALIBMAP[IOS];14105.32364;47.3789600353,8.53739384706;0
13923;14971;Kontakt-SBB 13923.14971;(47.3788373529412|8.53784847058823|0);CALIBMAP[IOS];13923.14971;47.3788373529,8.53784847059;0
13555;24564;Kontakt-SBB 13555.24564;(47.3788229462366|8.53850188172043|0);CALIBMAP[IOS];13555.24564;47.3788229462,8.53850188172;0
13443;41122;Kontakt-SBB 13443.41122;(47.3787037706093|8.5389396953405|0);CALIBMAP[IOS];13443.41122;47.3787037706,8.53893969534;0
13129;15605;Kontakt-SBB 13129.15605;(47.3786403176471|8.53857862352941|0);CALIBMAP[IOS];13129.15605;47.3786403176,8.53857862353;0
13050;42572;Kontakt-SBB 13050.42572;(47.3787899769585|8.53920606451613|0);CALIBMAP[IOS];13050.42572;47.378789977,8.53920606452;0
12778;58717;Kontakt-SBB 12778.58717;(47.3785659647059|8.53885415294118|0);CALIBMAP[IOS];12778.58717;47.3785659647,8.53885415294;0
12493;54637;Kontakt-SBB 12493.54637;(47.378742327189|8.53938348387097|0);CALIBMAP[IOS];12493.54637;47.3787423272,8.53938348387;0
11571;57549;Kontakt-SBB 11571.57549;(47.3786631019417|8.53785633009709|0);CALIBMAP[IOS];11571.57549;47.3786631019,8.5378563301;0
10774;13902;Kontakt-SBB 10774.13902;(47.3783941650485|8.53886505825243|0);CALIBMAP[IOS];10774.13902;47.378394165,8.53886505825;0
7709;63638;Kontakt-SBB 7709.63638;(47.377961028169|8.54034242253521|0);CALIBMAP[IOS];7709.63638;47.3779610282,8.54034242254;0
2704;23984;Kontakt-SBB 2704.23984;(47.3779706666667|8.53911233333333|0);CALIBMAP[IOS];2704.23984;47.3779706667,8.53911233333;0
