"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
"6152","2022-04-08 20:40:05.674+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-91,"-96.05882352941177","82.25075771150966",NULL,NULL,"1"
"6153","2022-04-08 20:40:05.674+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-86,"-87.25","20.69216238485547",NULL,NULL,"1"
"6154","2022-04-08 20:40:06.183+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-92,"-95.6470588235294","79.8483821270533",NULL,NULL,"1"
"6155","2022-04-08 20:40:06.183+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45268","15745",-1,"E0:FC:AB:B9:53:3D","UG176",1275068949,NULL,-72,-94,"-96.5","3.7703108893388153",NULL,NULL,"1"
"6156","2022-04-08 20:40:06.183+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-89,"-87.44444444444444","21.00610624851471",NULL,NULL,"1"
"6157","2022-04-08 20:40:06.183+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","44453","7877",-1,"CA:3B:2D:F9:11:B8","UG167",1275068949,NULL,-72,-92,"-85","1.8835567528602395",NULL,NULL,"1"
"6158","2022-04-08 20:40:06.695+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"3A:5D:EB:79:02:98",NULL,1275068949,NULL,-45,-91,"-95.47058823529412","78.83745895676843",NULL,NULL,"1"
"6159","2022-04-08 20:40:06.695+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39216","8522",-1,"F7:DC:7D:17:04:42","UG101",1275068949,NULL,-72,-91,"-92","2.861021058148136",NULL,NULL,"1"
"6160","2022-04-08 20:40:06.695+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","45815","26905",-1,"D4:04:C1:AC:D7:08","UG181",1275068949,NULL,-72,-92,"-92.5","2.9497082883414505",NULL,NULL,"1"
"6161","2022-04-08 20:40:07.2+00","50765cb7-d9ea-4e21-99a4-fa879613a492","731","21402",-1,"4C:EB:BD:D9:71:2A",NULL,1275068949,NULL,-50,-98,"-88.45454545454545","22.705280797763407",NULL,NULL,"1"
