"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
"5187","2022-04-08 20:34:08.049+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38224","62705",-1,"EF:7B:1F:7D:B9:C2","UG80",1275068949,NULL,-72,-92,"-89.33333333333333","2.4338653167674877",NULL,NULL,"1"
"5188","2022-04-08 20:34:08.049+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38485","33854",-1,"C7:9F:34:F5:3B:0A","UG95",1275068949,NULL,-72,-77,"-81.5","1.5457041966367746",NULL,NULL,"1"
"5189","2022-04-08 20:34:08.049+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38140","62621",-1,"DD:32:EF:27:51:C0","UG32",1275068949,NULL,-72,-92,"-88.5","2.315102830996915",NULL,NULL,"1"
"5190","2022-04-08 20:34:08.049+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38097","62578",-1,"DA:0B:27:E3:F0:DD","UG7",1275068949,NULL,-72,-90,"-95","3.4381990308675903",NULL,NULL,"1"
"5191","2022-04-08 20:34:08.049+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38158","62639",-1,"D6:5F:59:DD:D1:36","UG42",1275068949,NULL,-72,-94,"-87.6","2.1940954344943018",NULL,NULL,"1"
"5192","2022-04-08 20:34:08.049+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-103,"-94.86363636363636","2.3435186442950195",NULL,NULL,"1"
"5193","2022-04-08 20:34:08.569+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10132","10157",-1,"CF:BF:1A:C6:84:07",NULL,1275068949,NULL,-77,-96,"-94.85","2.3417281487964545",NULL,NULL,"1"
"5194","2022-04-08 20:34:08.569+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38148","62629",-1,"D9:E5:CF:CC:4B:ED","UG36",1275068949,NULL,-72,-97,"-94.5","3.334224055332304",NULL,NULL,"1"
"5195","2022-04-08 20:34:08.569+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","39154","8591",-1,"F8:7D:55:C5:34:DC","UG100",1275068949,NULL,-72,-94,"-95","3.4381990308675903",NULL,NULL,"1"
"5196","2022-04-08 20:34:08.569+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38084","62565",-1,"C8:8E:9B:5B:C3:AF","UG3",1275068949,NULL,-72,-94,"-94","3.2334700699621974",NULL,NULL,"1"
"5197","2022-04-08 20:34:09.088+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38485","33854",-1,"C7:9F:34:F5:3B:0A","UG95",1275068949,NULL,-72,-72,"-80.2","1.440449823163003",NULL,NULL,"1"
"5198","2022-04-08 20:34:09.088+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38157","62638",-1,"F8:76:4D:F7:1A:B2","UG41",1275068949,NULL,-72,-77,"-82.5","1.633752276347467",NULL,NULL,"1"
"5199","2022-04-08 20:34:09.088+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38113","62594",-1,"EC:CF:61:BD:6A:68","UG16",1275068949,NULL,-72,-97,"-96.5","3.7703108893388153",NULL,NULL,"1"
"5200","2022-04-08 20:34:09.607+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38124","62605",-1,"EA:ED:6F:46:20:A4","UG24",1275068949,NULL,-72,-95,"-97.5","4.00943402165319",NULL,NULL,"1"
"5201","2022-04-08 20:34:09.607+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38140","62621",-1,"DD:32:EF:27:51:C0","UG32",1275068949,NULL,-72,-93,"-89.4","2.4436548554586235",NULL,NULL,"1"
"5202","2022-04-08 20:34:09.607+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","38097","62578",-1,"DA:0B:27:E3:F0:DD","UG7",1275068949,NULL,-72,-91,"-91","2.692034122517204",NULL,NULL,"1"
"5203","2022-04-08 20:34:09.607+00","f0018b9b-7509-4c31-a905-1a27d39c003c","10082","10107",-1,"FA:CF:84:A9:1E:0D",NULL,1275068949,NULL,-77,-94,"-94.82608695652173","2.338591988600009",NULL,NULL,"1"
