beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
636;18663;2691;Kontakt-SBB 18663.2691;(47.3782072994924|8.53832446700508|0);CALIBMAP[IOS];18663.2691;47.3782072994924, 8.53832446700508;0
640;18308;28737;Kontakt-SBB 18308.28737;(47.3779978380682|8.53725733238637|0);CALIBMAP[IOS];18308.28737;47.3779978380682, 8.53725733238637;0
649;17107;62280;Kontakt-SBB 17107.62280;(47.3787072352941|8.53833064705882|0);CALIBMAP[IOS];17107.6228;47.3787072352941, 8.53833064705882;0
653;16739;7942;Kontakt-SBB 16739.7942;(47.3784032815534|8.53883086407767|0);CALIBMAP[IOS];16739.7942;47.3784032815534, 8.53883086407767;0
654;16511;12165;Kontakt-SBB 16511.12165;(47.3786626235294|8.53849596470588|0);CALIBMAP[IOS];16511.12165;47.3786626235294, 8.53849596470588;0
663;16099;4049;Kontakt-SBB 16099.4049;(47.3783440242718|8.53905312621359|0);CALIBMAP[IOS];16099.4049;47.3783440242718, 8.53905312621359;0
664;15870;33874;Kontakt-SBB 15870.33874;(47.3784488640777|8.53865989320388|0);CALIBMAP[IOS];15870.33874;47.3784488640777, 8.53865989320388;0
665;15685;54525;Kontakt-SBB 15685.54525;(47.3784655882353|8.53922611764706|0);CALIBMAP[IOS];15685.54525;47.3784655882353, 8.53922611764706;0
668;15525;16396;Kontakt-SBB 15525.16396;(47.3784123980583|8.53879666990291|0);CALIBMAP[IOS];15525.16396;47.3784123980583, 8.53879666990291;0
670;15450;55957;Kontakt-SBB 15450.55957;(47.3787718709677|8.53868951612903|0);CALIBMAP[IOS];15450.55957;47.3787718709677, 8.53868951612903;0
671;15328;19663;Kontakt-SBB 15328.19663;(47.3786700588235|8.53846841176471|0);CALIBMAP[IOS];15328.19663;47.3786700588235, 8.53846841176471;0
674;15085;11267;Kontakt-SBB 15085.11267;(47.3786403176471|8.53857862352941|0);CALIBMAP[IOS];15085.11267;47.3786403176471, 8.53857862352941;0
675;14973;34767;Kontakt-SBB 14973.34767;(47.3786175194175|8.53802730097087|0);CALIBMAP[IOS];14973.34767;47.3786175194175, 8.53802730097087;0
679;14562;739;Kontakt-SBB 14562.739;(47.3788038941176|8.53797245882353|0);CALIBMAP[IOS];14562.739;47.3788038941176, 8.53797245882353;0
680;14226;25942;Kontakt-SBB 14226.25942;(47.3788336352941|8.53786224705882|0);CALIBMAP[IOS];14226.25942;47.3788336352941, 8.53786224705882;0
683;14162;64268;Kontakt-SBB 14162.64268;(47.3790034121864|8.53783890681004|0);CALIBMAP[IOS];14162.64268;47.3790034121864, 8.53783890681004;0
684;14105;32364;Kontakt-SBB 14105.32364;(47.3789600352941|8.53739384705882|0);CALIBMAP[IOS];14105.32364;47.3789600352941, 8.53739384705882;0
686;13923;14971;Kontakt-SBB 13923.14971;(47.3788373529412|8.53784847058823|0);CALIBMAP[IOS];13923.14971;47.3788373529412, 8.53784847058823;0
687;13555;24564;Kontakt-SBB 13555.24564;(47.3788229462366|8.53850188172043|0);CALIBMAP[IOS];13555.24564;47.3788229462366, 8.53850188172043;0
