beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
25;63874;44848;Kontakt-SBB 63874.44848;(47.3784016|8.5358982|-2);CALIBMAP[IOS];63874.44848;47.3784016,8.5358982;-2
26;63842;15761;Kontakt-SBB 63842.15761;(47.3788473636364|8.53568290909091|-2);CALIBMAP[IOS];63842.15761;47.3788473636,8.53568290909;-2
93;58419;33851;Kontakt-SBB 58419.33851;(47.3793965652174|8.53685386956522|-2);CALIBMAP[IOS];58419.33851;47.3793965652,8.53685386957;-2
99;58180;32005;Kontakt-SBB 58180.32005;(47.3787427878788|8.53554863636364|-2);CALIBMAP[IOS];58180.32005;47.3787427879,8.53554863636;-2
127;55007;23794;Kontakt-SBB 55007.23794;(47.3786249405941|8.53836072277228|-2);CALIBMAP[IOS];55007.23794;47.3786249406,8.53836072277;-2
129;54726;44418;Kontakt-SBB 54726.44418;(47.3789322727273|8.53880666666667|-2);CALIBMAP[IOS];54726.44418;47.3789322727,8.53880666667;-2
130;54714;7147;Kontakt-SBB 54714.7147;(47.3788936136364|8.53895441666667|-2);CALIBMAP[IOS];54714.7147;47.3788936136,8.53895441667;-2
131;54678;1590;Kontakt-SBB 54678.1590;(47.3788985|8.538795125|-2);CALIBMAP[IOS];54678.159;47.3788985,8.538795125;-2
133;54291;10084;Kontakt-SBB 54291.10084;(47.3787217954545|8.53961108333333|-2);CALIBMAP[IOS];54291.10084;47.3787217955,8.53961108333;-2
134;54139;42363;Kontakt-SBB 54139.42363;(47.3787971782178|8.53855473267327|-2);CALIBMAP[IOS];54139.42363;47.3787971782,8.53855473267;-2
135;54091;455;Kontakt-SBB 54091.455;(47.3789933960396|8.53866540594059|-2);CALIBMAP[IOS];54091.455;47.378993396,8.53866540594;-2
136;54038;26452;Kontakt-SBB 54038.26452;(47.37876475|8.53944691666667|-2);CALIBMAP[IOS];54038.26452;47.37876475,8.53944691667;-2
137;54018;53607;Kontakt-SBB 54018.53607;(47.3784898409091|8.54049758333333|-2);CALIBMAP[IOS];54018.53607;47.3784898409,8.54049758333;-2
138;53830;9918;Kontakt-SBB 53830.9918;(47.3784672777778|8.53605688888889|-2);CALIBMAP[IOS];53830.9918;47.3784672778,8.53605688889;-2
140;53627;45751;Kontakt-SBB 53627.45751;(47.3786923684211|8.53963505263158|-2);CALIBMAP[IOS];53627.45751;47.3786923684,8.53963505263;-2
