calculation_method;calc_trigger_time;route_start_time;route_end_time;device_fingerprint;geopos;Geoposition;position_timestamp;position_floor_estimation;position_signals_floors;position_signal_1_beacon;position_signal_1_timestamp;position_signal_2_beacon;position_signal_2_beacon;position_signal_3_beacon;position_signal_3_timestamp
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.376520454496855|8.53995851789505|-2);47.376520454496855,8.53995851789505;Wed Apr 13 19:11:30 CEST 2022;-2;-2,-2,-2,;240;2022-04-13 19:11:30.059;285;2022-04-13 19:11:30.059;276;2022-04-13 19:11:30.059
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37846200074556|8.540223192409915|-2);47.37846200074556,8.540223192409915;Wed Apr 13 19:12:11 CEST 2022;-2;-2,-2,-2,;280;2022-04-13 19:12:11.017;204;2022-04-13 19:12:11.017;209;2022-04-13 19:12:11.017
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37827068697712|8.540230260348869|-2);47.37827068697712,8.540230260348869;Wed Apr 13 19:12:14 CEST 2022;-2;-2,-2,-2,;257;2022-04-13 19:12:14.278;251;2022-04-13 19:12:14.278;279;2022-04-13 19:12:14.278
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37815735125729|8.540245662090172|-2);47.37815735125729,8.540245662090172;Wed Apr 13 19:12:21 CEST 2022;-2;-2,-2,-2,;252;2022-04-13 19:12:21.508;254;2022-04-13 19:12:21.508;246;2022-04-13 19:12:21.508
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37813656799556|8.54023537988648|-2);47.37813656799556,8.54023537988648;Wed Apr 13 19:12:21 CEST 2022;-2;-2,-2,-2,;289;2022-04-13 19:12:21.508;252;2022-04-13 19:12:21.508;254;2022-04-13 19:12:21.508
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37847347550629|8.53996824935916|-2);47.37847347550629,8.53996824935916;Wed Apr 13 19:12:22 CEST 2022;-2;-2,-2,-2,;251;2022-04-13 19:12:22.025;204;2022-04-13 19:12:22.025;294;2022-04-13 19:12:22.025
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(NaN|NaN|-2);NaN,NaN;Wed Apr 13 19:12:23 CEST 2022;-2;-2,-2,-2,;246;2022-04-13 19:12:23.058;249;2022-04-13 19:12:23.058;248;2022-04-13 19:12:23.058
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.377817367738466|8.540408237639067|-2);47.377817367738466,8.540408237639067;Wed Apr 13 19:12:23 CEST 2022;-2;-2,-2,-2,;257;2022-04-13 19:12:23.572;251;2022-04-13 19:12:23.572;252;2022-04-13 19:12:23.572
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37832018031365|8.540210849738909|-2);47.37832018031365,8.540210849738909;Wed Apr 13 19:12:23 CEST 2022;-2;-2,-2,-2,;272;2022-04-13 19:12:23.572;257;2022-04-13 19:12:23.572;251;2022-04-13 19:12:23.572
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37876377653978|8.539910897067394|-2);47.37876377653978,8.539910897067394;Wed Apr 13 19:12:24 CEST 2022;-2;-2,-2,-2,;289;2022-04-13 19:12:24.083;283;2022-04-13 19:12:24.083;340;2022-04-13 19:12:24.083
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378456937758735|8.540060246286258|-2);47.378456937758735,8.540060246286258;Wed Apr 13 19:12:25 CEST 2022;-2;-2,-2,-2,;337;2022-04-13 19:12:25.101;283;2022-04-13 19:12:25.101;248;2022-04-13 19:12:25.101
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37733100516522|8.540655034569959|-2);47.37733100516522,8.540655034569959;Wed Apr 13 19:12:25 CEST 2022;-2;-2,-2,-2,;251;2022-04-13 19:12:25.615;279;2022-04-13 19:12:25.615;252;2022-04-13 19:12:25.615
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37832615885048|8.540205277254161|-2);47.37832615885048,8.540205277254161;Wed Apr 13 19:12:25 CEST 2022;-2;-2,-2,-2,;272;2022-04-13 19:12:25.615;251;2022-04-13 19:12:25.615;279;2022-04-13 19:12:25.615
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.3783744257646|8.540183463138355|-2);47.3783744257646,8.540183463138355;Wed Apr 13 19:12:25 CEST 2022;-2;-2,-2,-2,;249;2022-04-13 19:12:25.615;251;2022-04-13 19:12:25.615;279;2022-04-13 19:12:25.615
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37829413452781|8.540219750569808|-2);47.37829413452781,8.540219750569808;Wed Apr 13 19:12:25 CEST 2022;-2;-2,-2,-2,;248;2022-04-13 19:12:25.615;251;2022-04-13 19:12:25.615;279;2022-04-13 19:12:25.615
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37835463240465|8.540193311760543|-2);47.37835463240465,8.540193311760543;Wed Apr 13 19:12:26 CEST 2022;-2;-2,-2,-2,;257;2022-04-13 19:12:26.645;246;2022-04-13 19:12:26.645;272;2022-04-13 19:12:26.645
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.3783813279292|8.54018107366763|-2);47.3783813279292,8.54018107366763;Wed Apr 13 19:12:26 CEST 2022;-2;-2,-2,-2,;249;2022-04-13 19:12:26.645;257;2022-04-13 19:12:26.645;246;2022-04-13 19:12:26.645
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378444952812316|8.540069600413261|-2);47.378444952812316,8.540069600413261;Wed Apr 13 19:12:27 CEST 2022;-2;-2,-2,-2,;246;2022-04-13 19:12:27.156;294;2022-04-13 19:12:27.156;283;2022-04-13 19:12:27.156
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(NaN|NaN|-2);NaN,NaN;Wed Apr 13 19:12:27 CEST 2022;-2;-2,-2,-2,;248;2022-04-13 19:12:27.156;246;2022-04-13 19:12:27.156;294;2022-04-13 19:12:27.156
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:28:07 CEST 2022;Wed Apr 13 19:11:30 CEST 2022;Wed Apr 13 19:19:02 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37804927060988|8.540342319822546|-2);47.37804927060988,8.540342319822546;Wed Apr 13 19:12:29 CEST 2022;-2;-2,-2,-2,;290;2022-04-13 19:12:29.002;280;2022-04-13 19:12:29.002;246;2022-04-13 19:12:29.002
